Krig33	Avg33
220	0.00070153	0.000726777
221	0.000732633	0.000681551
222	0.000540436	0.000529976
223	0.000463155	0.000524786
224	0.000599017	0.0006056
225	0.000574196	0.000542788
226	0.000380391	0.00042612
227	0.000683436	0.000785868
228	0.000448609	0.000579848
229	0.000371329	0.000495746
230	0.000797605	0.000511525
231	0.000562492	0.000510286
232	0.000600633	0.000700355
233	0.00059299	0.000548958
234	0.000686523	0.000569098
235	0.000543886	0.000549582
236	0.000565416	0.000609204
237	0.000448169	0.00045073
238	0.000408676	0.000474732
239	0.000408169	0.000450003
240	0.00058238	0.00053612
241	0.000628254	0.000614758
242	0.000569461	0.000525257
243	0.000460867	0.000587973
244	0.001213126	0.001060073
245	0.000230244	0.0004876
246	0.000471484	0.000511939
247	0.000645817	0.000559038
248	0.000573604	0.000540031
249	0.000409305	0.000493179
250	0.000482986	0.000528864
251	0.000606395	0.000599398
252	0.000676611	0.000661267
253	0.000575937	0.000601766
254	0.000573215	0.000514317
255	0.000317765	0.000495572
256	0.000581648	0.000520014
257	0.000355433	0.000458567
258	0.000814352	0.000539304
259	0.000422068	0.000485188
260	0.000441735	0.000440708
261	0.000415528	0.000449395
262	0.000463788	0.000443661
263	0.000275968	0.000383313
264	0.000569505	0.000490714
265	0.000203153	0.000372688
266	0.000435177	0.000472894
267	0.001324095	0.00086022
268	0.000752817	0.000706359
269	0.000565361	0.000593848
270	0.000532875	0.000570715
271	0.000391796	0.00046046
272	0.000674977	0.000556248
273	0.000484822	0.000498192
274	0.000524207	0.000484993
275	0.00037612	0.000454333
276	0.000497444	0.000495256
277	0.00066444	0.000550168
278	0.0006676	0.000716065
279	0.000523505	0.000610128
280	0.000647803	0.00061846
281	0.000466327	0.000600783
282	0.000676521	0.000632879
283	0.000635757	0.000606284
284	0.000667134	0.000626831
285	0.000615931	0.0005646
286	0.000491338	0.00060127
287	0.000538315	0.000553934
288	0.000413618	0.000462079
289	0.000494357	0.000486358
290	0.000612293	0.000559632
291	0.00051926	0.000538184
292	0.000493812	0.000445292
293	0.000309492	0.000414649
294	0.000259909	0.000381996
295	0.000672821	0.000609483
296	0.000763206	0.000720331
