,x,y,aperture
74,38.2976,30.0326,0.000657889
75,38.6746,29.8088,0.000795248
76,37.2617,30.4825,0.000367659
77,36.9206,30.6101,0.000349919
78,37.5994,30.2435,0.000449366
79,37.9865,29.9719,0.000529644
80,36.6099,30.6073,0.000420125
81,37.2839,30.2124,0.000445878
82,38.3512,29.6158,0.000553207
83,37.6428,29.9035,0.0005138
84,38.0452,29.6105,0.000602403
85,36.9484,30.1339,0.000493886
86,37.2932,29.8611,0.000478264
87,38.3337,29.3092,0.000479454
88,36.1736,30.3902,0.000504385
89,35.1579,30.8905,0.000537597
90,37.7007,29.5404,0.000453544
91,36.5942,30.0695,0.000458089
92,36.9775,29.7675,0.000500169
93,37.3613,29.5227,0.000537679
94,38.153,29.1096,0.00028132
95,34.7579,30.8636,0.000502786
96,37.732,29.243,0.000582363
97,36.2433,30.0092,0.000461643
98,35.7745,30.2173,0.000275658
99,35.1245,30.536,0.000426019
100,36.6243,29.7241,0.000511354
101,33.8252,31.1671,0.000368042
102,41.0641,23.5135,0.000566079
103,40.7925,23.1618,0.000327467
104,40.8814,22.7881,0.000672853
105,40.5138,22.7564,0.00056159
106,41.0554,22.4569,0.000760755
107,40.5225,22.4601,0.000708214
108,41.1022,22.1515,0.000875162
109,39.0677,28.3065,0.000554124
110,38.3409,28.6401,0.000681256
111,39.6208,27.9607,0.00040151
112,40.8008,27.3362,0.000523838
113,40.1426,27.663,0.000531906
114,38.7057,28.3055,0.000713546
115,40.5034,27.332,0.000621585
116,38.1592,28.5427,0.000454423
117,39.2916,27.9328,0.000325965
118,39.7374,27.6686,0.000577382
119,38.9987,27.9513,0.00047188
120,40.8362,26.9797,0.00051396
121,40.1571,27.3143,0.000640723
122,38.2853,28.2701,0.00054215
123,39.3654,27.6792,0.00055008
124,40.5209,26.9662,0.000641259
125,38.6752,27.9244,0.000587304
126,39.822,27.2854,0.000681606
127,39.0642,27.6148,0.0006398
128,40.2171,26.9544,0.000766992
129,38.3291,27.9359,0.000588133
130,40.8061,26.6456,0.000488643
131,39.4683,27.2689,0.000669976
132,40.5143,26.6907,0.000559069
133,38.6764,27.6045,0.000640535
134,39.8293,26.9457,0.00054808
135,37.9532,27.9079,0.000556801
136,40.2329,26.71,0.000574838
137,39.0984,27.2677,0.000676236
138,40.8466,26.3362,0.00063663
139,38.351,27.5821,0.00065139
140,39.5427,26.8958,0.000698938
141,40.5005,26.3669,0.000378618
142,38.7311,27.2477,0.000660447
143,39.8082,26.6838,0.000504615
144,39.5482,26.7852,0.000705702
145,37.9714,27.5629,0.000549929
146,39.1316,26.9067,0.000621641
147,40.146,26.3214,0.00034338
148,38.3587,27.2277,0.000557349
149,40.8003,25.9565,0.000322091
150,38.7617,26.8894,0.000602145
151,39.2117,26.562,0.00061973
152,40.4276,25.9283,0.000285306
153,37.947,27.2111,0.000504301
154,39.7623,26.2606,0.000230739
155,38.4081,26.8567,0.000586653
156,37.6157,27.1933,0.000586985
157,40.7733,25.5389,0.000387655
158,38.7863,26.5505,0.000617055
