x,y,z
x,y,z
34.1851,27.3037,-74.4935,
36.4732,26.1053,-74.3958,
34.5697,27.0645,-74.558,
33.4621,27.6161,-74.4989,
35.7097,26.4282,-74.4336,
34.9796,26.7244,-74.5192,
36.1231,26.0572,-74.3887,
33.8311,27.2122,-74.5195,
35.3561,26.3752,-74.4762,
36.5235,25.749,-74.3933,
34.1902,26.9535,-74.5097,
35.7633,26.0915,-74.5017,
33.0701,27.4436,-74.5247,
34.6294,26.6133,-74.5865,
33.4887,27.1896,-74.5023,
33.8595,26.8943,-74.494,
34.2628,26.6524,-74.5087,
35.3975,26.0392,-74.4665,
32.7059,27.4481,-74.2832,
36.225,25.6054,-74.2776,
34.973,26.2413,-74.4722,
35.8158,25.7073,-74.4091,
33.1622,27.0223,-74.3975,
32.4751,27.3762,-74.2224,
34.343,26.3245,-74.6294,
34.8537,26.0539,-74.4394,
33.5084,26.7541,-74.4917,
32.8389,27.0979,-74.4536,
35.0173,25.9521,-74.3985,
35.4623,25.7037,-74.5151,
33.8756,26.525,-74.5054,
36.3512,25.2229,-74.2404,
35.9085,25.374,-74.4849,
34.8039,25.9184,-74.3499,
32.4945,27.058,-74.31,
35.0868,25.6628,-74.514,
33.2054,26.6346,-74.3672,
36.2483,25.0379,-74.6172,
35.5036,25.377,-74.6006,
32.9503,26.6816,-74.2831,
33.9129,26.1683,-74.4019,
33.5108,26.3605,-74.397,
34.4376,25.8531,-74.5158,
35.9344,25.0166,-74.5335,
32.177,26.9835,-74.2322,
34.7088,25.6179,-74.4574,
32.5651,26.7106,-74.3454,
35.1523,25.3269,-74.6102,
33.3258,26.2722,-74.3305,
33.0059,26.3658,-74.3041,
34.002,25.8328,-74.4707,
35.5627,25.0081,-74.6175,
33.4762,31.142,-73.8004,
33.9209,30.7915,-73.9082,
33.1399,31.1003,-73.8736,
33.564,30.7743,-73.944,
32.8017,31.1349,-73.9133,
33.1965,30.7497,-73.9246,
32.5276,31.064,-74.0364,
32.8275,30.757,-73.988,
33.4876,30.3646,-73.9892,
31.8076,31.2183,-74.0459,
33.2114,30.4098,-73.949,
33.2618,30.3724,-74.0424,
32.505,30.7221,-74.1529,
33.523,30.0383,-74.0721,
33.2204,30.1074,-74.1168,
32.6315,30.3851,-74.3301,
32.0211,30.642,-74.0962,
32.3903,30.3305,-74.2363,
32.2441,30.3802,-74.2059,
31.5318,30.7263,-74.1793,
32.8913,29.9652,-74.2226,
33.2311,29.7652,-74.2636,
30.4128,31.2231,-73.8072,
31.6432,30.5487,-74.1918,
32.4692,29.9718,-74.2751,
32.8339,29.7005,-74.4127,
30.8938,30.6958,-74.0301,
33.2526,29.3851,-74.3855,
31.6777,30.2061,-74.1975,
32.1074,29.898,-74.2626,
29.491,31.2498,-73.8969,
30.5717,30.6709,-73.9709,
32.4792,29.5545,-74.3437,
29.8323,30.9345,-73.953,
30.9181,30.3518,-73.9968,
31.7431,29.8859,-74.2326,
31.2936,30.1108,-74.0908,
32.8059,29.3053,-74.4413,
30.6251,30.3237,-73.9699,
29.5017,30.903,-74.0064,
32.2028,29.4464,-74.2515,
29.9582,30.5752,-74.1961,
31.0613,29.9873,-73.998,
30.949,30.0345,-74.0148,
31.3462,29.7916,-74.135,
31.8096,29.5395,-74.2594,
30.3057,30.3288,-74.0052,
32.4512,29.1898,-74.3403,
29.132,30.8702,-73.873,
30.2585,30.2638,-73.9874,
32.8932,28.857,-74.4638,
30.7254,29.9922,-73.9751,
29.5758,30.5704,-74.0852,
30.6316,30.0174,-73.9642,
32.3127,29.1129,-74.1866,
30.0001,30.2659,-74.1598,
31.0647,29.6837,-74.03,
32.5368,28.8646,-74.3571,
31.851,29.2026,-74.2788,
30.3542,29.9867,-74.0194,
31.4243,29.4156,-74.1486,
