,NodeTag,x,y,z
56,56,-8.92329999996846,31.2218,0
57,57,-9.92329999997057,31.2218,0
58,58,-10.9232999999727,31.2218,0
59,59,-11.9232999999748,31.2218,0
60,60,-12.9232999999769,31.2218,0
61,61,-13.923299999979,31.2218,0
62,62,-14.9232999999811,31.2218,0
63,63,-15.9232999999832,31.2218,0
64,64,-16.9232999999853,31.2218,0
65,65,-17.9232999999874,31.2218,0
66,66,-18.9232999999895,31.2218,0
67,67,-19.9232999999916,31.2218,0
68,68,-20.9232999999937,31.2218,0
69,69,-21.9232999999958,31.2218,0
70,70,-22.9232999999979,31.2218,0
71,71,-23.9233,30.2218000000028,0
72,72,-23.9233,29.2218000000056,0
73,73,-23.9233,28.2218000000083,0
74,74,-23.9233,27.2218000000111,0
75,75,-23.9233,26.2218000000139,0
76,76,-23.9233,25.2218000000166,0
77,77,-23.9233,24.2218000000194,0
78,78,-23.9233,23.2218000000222,0
79,79,-23.9233,22.221800000025,0
80,80,-23.9233,21.2218000000277,0
81,81,-23.9233,20.2218000000305,0
82,82,-23.9233,19.2218000000333,0
83,83,-23.9233,18.2218000000361,0
84,84,-23.9233,17.2218000000388,0
85,85,-23.9233,16.2218000000416,0
86,86,-23.9233,15.2218000000444,0
87,87,-23.9233,14.2218000000471,0
88,88,-23.9233,13.2218000000499,0
89,89,-23.9233,12.2218000000527,0
90,90,-23.9233,11.2218000000555,0
91,91,-23.9233,10.2218000000582,0
92,92,-23.9233,9.221800000061,0
93,93,-23.9233,8.22180000006377,0
94,94,-23.9233,7.22180000006654,0
95,95,-23.9233,6.22180000006931,0
96,96,-23.9233,5.22180000007208,0
97,97,-23.9233,4.22180000007485,0
98,98,-23.9233,3.22180000007762,0
99,99,-23.9233,2.22180000008039,0
100,100,-23.9233,1.22180000008316,0
101,101,-23.9233,0.221800000085935,0
102,102,-23.9233,-0.77819999991199,0
103,103,-23.9233,-1.77819999991407,0
104,104,-23.9233,-2.77819999991684,0
105,105,-23.9233,-3.77819999991962,0
106,106,-23.9233,-4.77819999992239,0
107,107,-23.9233,-5.77819999992516,0
108,108,-23.9233,-6.77819999992793,0
109,109,-23.9233,-7.7781999999307,0
110,110,-23.9233,-8.77819999993347,0
111,111,-23.9233,-9.77819999993625,0
112,112,-23.9233,-10.778199999939,0
113,113,-23.9233,-11.7781999999418,0
114,114,-23.9233,-12.7781999999446,0
115,115,-23.9233,-13.7781999999473,0
116,116,-23.9233,-14.7781999999501,0
117,117,-23.9233,-15.7781999999529,0
118,118,-23.9233,-16.7781999999557,0
119,119,-23.9233,-17.7781999999584,0
120,120,-23.9233,-18.7781999999612,0
121,121,-23.9233,-19.778199999964,0
122,122,-23.9233,-20.7781999999667,0
123,123,-23.9233,-21.7781999999695,0
124,124,-23.9233,-22.7781999999723,0
125,125,-23.9233,-23.778199999975,0
126,126,-23.9233,-24.7781999999778,0
127,127,-23.9233,-25.7781999999806,0
128,128,-23.9233,-26.7781999999834,0
129,129,-23.9233,-27.7781999999861,0
130,130,-23.9233,-28.7781999999889,0
131,131,-23.9233,-29.7781999999917,0
132,132,-23.9233,-30.7781999999944,0
133,133,-23.9233,-31.7781999999972,0
134,134,-22.9233000000027,-32.7782,0
